Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2922617,-,-,-,24.85,67.02,0,13,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,15.600000000000001,0,0,0,0,5.7,0,0,0,0,0.26,51.910000000000004,120.10000000000001,0.17,1014,0.9,28,2
2018,1,1,0,15,15.5,0,0,0,0,5.7,0,0,0,0,0.26,52.24,116.8,0.17,1014,0.8,30,1.9000000000000001
2018,1,1,0,30,15.5,0,0,0,0,5.7,0,0,0,0,0.26,52.24,113.51,0.17,1014,0.8,32,1.9000000000000001
2018,1,1,0,45,15.4,0,0,0,0,4.800000000000001,0,0,0,0,0.26,49.160000000000004,110.25,0.17,1014,0.8,33,1.9000000000000001
2018,1,1,1,0,15.4,0,0,0,0,4.800000000000001,0,0,0,0,0.259,49.160000000000004,107,0.17,1014,0.8,35,1.9000000000000001
2018,1,1,1,15,15.3,0,0,0,0,4.800000000000001,0,0,0,0,0.259,49.480000000000004,103.78,0.17,1014,0.8,37,1.8
2018,1,1,1,30,15.3,0,0,0,0,4.800000000000001,0,0,0,0,0.259,49.480000000000004,100.58,0.17,1014,0.8,39,1.8
2018,1,1,1,45,15.3,0,0,0,0,3.9000000000000004,0,0,0,0,0.259,46.56,97.41,0.17,1015,0.8,42,1.8
2018,1,1,2,0,15.3,0,0,0,0,3.9000000000000004,0,0,0,0,0.259,46.56,94.27,0.17,1015,0.8,44,1.7000000000000002
2018,1,1,2,15,15.8,0,0,0,0,3.9000000000000004,0,0,0,0,0.259,45.1,91.17,0.17,1015,0.8,47,1.8
2018,1,1,2,30,16.3,14,76,16,0,3.9000000000000004,14,76,0,16,0.259,43.69,87.82000000000001,0.17,1015,0.8,50,1.8
2018,1,1,2,45,16.8,32,198,49,0,3.2,32,198,0,49,0.26,40.18,84.92,0.17,1015,0.8,54,1.8
2018,1,1,3,0,17.3,49,309,92,0,3.2,49,309,0,92,0.26,38.93,82,0.17,1015,0.8,57,1.8
2018,1,1,3,15,17.8,64,403,140,0,3.2,64,403,0,140,0.26,37.76,79.10000000000001,0.17,1016,0.8,61,1.8
2018,1,1,3,30,18.3,76,479,190,0,3.2,76,479,0,190,0.26,36.6,76.26,0.17,1016,0.8,66,1.7000000000000002
2018,1,1,3,45,18.7,87,541,241,0,2.2,87,541,0,241,0.26,33.21,73.48,0.17,1016,0.8,70,1.7000000000000002
2018,1,1,4,0,19.200000000000003,96,598,293,0,2.2,96,598,0,293,0.26,32.19,70.77,0.17,1016,0.7000000000000001,75,1.7000000000000002
2018,1,1,4,15,19.900000000000002,104,641,343,0,2.2,104,641,0,343,0.261,30.830000000000002,68.14,0.17,1016,0.7000000000000001,89,1.6
2018,1,1,4,30,20.6,111,678,391,0,2.2,111,678,0,391,0.261,29.53,65.61,0.17,1016,0.7000000000000001,104,1.5
2018,1,1,4,45,21.3,117,709,437,0,1,117,709,0,437,0.261,25.93,63.18,0.17,1016,0.7000000000000001,118,1.4000000000000001
2018,1,1,5,0,22,122,735,480,0,1,122,735,0,480,0.261,24.85,60.870000000000005,0.17,1016,0.7000000000000001,133,1.2000000000000002
2018,1,1,5,15,22.3,127,757,520,0,1,127,757,0,520,0.262,24.400000000000002,58.69,0.17,1016,0.7000000000000001,143,1.2000000000000002
2018,1,1,5,30,22.700000000000003,131,776,557,0,1,131,776,0,557,0.262,23.79,56.67,0.17,1015,0.7000000000000001,153,1.2000000000000002
2018,1,1,5,45,23.1,124,821,597,0,0.7000000000000001,124,821,0,597,0.262,22.7,54.800000000000004,0.17,1015,0.7000000000000001,162,1.2000000000000002
2018,1,1,6,0,23.5,127,833,627,0,0.7000000000000001,127,833,0,627,0.263,22.16,53.120000000000005,0.17,1015,0.7000000000000001,172,1.1
2018,1,1,6,15,23.700000000000003,130,844,653,0,0.7000000000000001,130,844,0,653,0.263,21.900000000000002,51.65,0.17,1015,0.7000000000000001,180,1.2000000000000002
2018,1,1,6,30,23.900000000000002,131,852,675,0,0.6000000000000001,131,852,0,675,0.263,21.62,50.39,0.17,1014,0.7000000000000001,188,1.2000000000000002
2018,1,1,6,45,24.200000000000003,133,859,692,0,0.8,133,859,0,692,0.263,21.43,49.36,0.17,1014,0.7000000000000001,196,1.3
2018,1,1,7,0,24.400000000000002,134,864,705,0,0.8,134,864,0,705,0.263,21.18,48.59,0.17,1014,0.7000000000000001,205,1.3
2018,1,1,7,15,24.5,135,867,714,0,0.8,135,867,0,714,0.263,21.05,48.08,0.17,1014,0.7000000000000001,209,1.5
2018,1,1,7,30,24.700000000000003,135,868,717,0,0.8,135,868,0,717,0.263,20.78,47.85,0.17,1013,0.7000000000000001,214,1.6
2018,1,1,7,45,24.8,135,869,717,0,1.6,135,869,0,717,0.263,21.95,47.88,0.17,1013,0.7000000000000001,219,1.7000000000000002
2018,1,1,8,0,25,134,867,712,0,1.6,134,867,0,712,0.263,21.69,48.2,0.17,1013,0.7000000000000001,224,1.8
2018,1,1,8,15,25,133,863,702,0,1.6,133,863,0,702,0.263,21.69,48.78,0.17,1013,0.7000000000000001,227,1.9000000000000001
2018,1,1,8,30,25,132,853,685,0,1.6,132,853,0,685,0.263,21.67,49.620000000000005,0.17,1012,0.8,230,2
2018,1,1,8,45,25.1,125,862,671,0,2.8000000000000003,125,862,0,671,0.263,23.53,50.71,0.17,1012,0.8,233,2.1
2018,1,1,9,0,25.1,123,853,648,0,2.8000000000000003,123,853,0,648,0.263,23.53,52.03,0.17,1012,0.8,235,2.3000000000000003
2018,1,1,9,15,25,121,842,621,0,2.8000000000000003,121,842,0,621,0.263,23.67,53.57,0.17,1012,0.8,237,2.3000000000000003
2018,1,1,9,30,25,119,829,590,0,2.8000000000000003,119,829,0,590,0.262,23.67,55.300000000000004,0.17,1012,0.8,239,2.4000000000000004
2018,1,1,9,45,24.900000000000002,115,815,556,0,3.9000000000000004,115,815,0,556,0.262,25.63,57.21,0.17,1012,0.8,241,2.5
2018,1,1,10,0,24.8,112,796,518,0,3.9000000000000004,112,796,0,518,0.262,25.79,59.28,0.17,1012,0.8,242,2.5
2018,1,1,10,15,24.6,108,774,477,0,3.9000000000000004,108,774,0,477,0.262,26.1,61.49,0.17,1012,0.8,243,2.6
2018,1,1,10,30,24.400000000000002,103,748,433,0,3.9000000000000004,103,748,0,433,0.262,26.41,63.83,0.17,1012,0.8,244,2.6
2018,1,1,10,45,24.200000000000003,98,720,388,0,5,98,720,0,388,0.261,28.88,66.29,0.17,1012,0.8,245,2.6
2018,1,1,11,0,24,92,683,339,0,5,92,683,0,339,0.261,29.22,68.85000000000001,0.17,1012,0.8,246,2.6
2018,1,1,11,15,23.400000000000002,86,639,288,0,5,86,639,0,288,0.261,30.29,71.5,0.17,1012,0.8,246,2.5
2018,1,1,11,30,22.8,78,585,237,0,5,78,585,0,237,0.261,31.41,74.23,0.17,1012,0.8,247,2.3000000000000003
