Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2922617,-,-,-,24.85,67.02,0,13,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2017,1,1,0,0,17.6,0,0,0,0,12.600000000000001,0,0,0,0,0.241,72.52,120.12,0.17,1014,1.3,52,2.3000000000000003
2017,1,1,0,15,17.6,0,0,0,0,12.600000000000001,0,0,0,0,0.241,72.52,116.82000000000001,0.17,1014,1.3,53,2.3000000000000003
2017,1,1,0,30,17.5,0,0,0,0,12.600000000000001,0,0,0,0,0.241,72.98,113.53,0.17,1014,1.3,54,2.4000000000000004
2017,1,1,0,45,17.400000000000002,0,0,0,0,11.3,0,0,0,0,0.241,67.37,110.26,0.17,1014,1.3,56,2.5
2017,1,1,1,0,17.3,0,0,0,0,11.3,0,0,0,0,0.241,67.86,107.02,0.17,1015,1.3,57,2.5
2017,1,1,1,15,17.3,0,0,0,0,11.3,0,0,0,0,0.241,67.86,103.79,0.17,1015,1.3,57,2.6
2017,1,1,1,30,17.3,0,0,0,0,11.3,0,0,0,0,0.241,67.86,100.59,0.17,1015,1.3,58,2.7
2017,1,1,1,45,17.3,0,0,0,0,10,0,0,0,0,0.241,62.32,97.42,0.17,1016,1.3,58,2.8000000000000003
2017,1,1,2,0,17.3,0,0,0,0,10,0,0,0,0,0.241,62.32,94.28,0.17,1016,1.3,59,2.8000000000000003
2017,1,1,2,15,17.7,0,0,0,0,10,0,0,0,0,0.241,60.78,91.18,0.17,1016,1.3,59,3.1
2017,1,1,2,30,18.1,6,13,7,0,10,6,13,0,7,0.241,59.27,87.83,0.17,1016,1.3,60,3.3000000000000003
2017,1,1,2,45,18.5,23,50,27,0,8.9,23,50,0,27,0.241,53.44,84.93,0.17,1017,1.3,60,3.6
2017,1,1,3,0,18.900000000000002,47,98,61,0,8.9,47,98,0,61,0.241,52.120000000000005,82.01,0.17,1017,1.3,61,3.8000000000000003
2017,1,1,3,15,19.3,73,149,102,0,8.9,73,149,0,102,0.241,50.84,79.11,0.17,1017,1.3,62,3.8000000000000003
2017,1,1,3,30,19.700000000000003,97,197,144,0,8.9,97,197,0,144,0.241,49.6,76.27,0.17,1017,1.3,64,3.8000000000000003
2017,1,1,3,45,20.1,120,241,188,0,7.7,120,241,0,188,0.242,44.84,73.49,0.17,1017,1.3,66,3.8000000000000003
2017,1,1,4,0,20.5,141,283,234,12,7.7,141,283,0,234,0.242,43.75,70.77,0.17,1017,1.3,67,3.8000000000000003
2017,1,1,4,15,21.200000000000003,160,322,280,1,7.7,160,322,0,280,0.242,41.910000000000004,68.15,0.17,1017,1.2000000000000002,69,3.8000000000000003
2017,1,1,4,30,21.8,177,356,324,1,7.7,177,356,0,324,0.242,40.4,65.61,0.17,1017,1.2000000000000002,71,3.8000000000000003
2017,1,1,4,45,22.5,191,387,366,0,6.7,191,387,0,366,0.242,36.01,63.18,0.17,1017,1.2000000000000002,72,3.8000000000000003
2017,1,1,5,0,23.1,205,414,406,0,6.7,205,414,0,406,0.242,34.730000000000004,60.870000000000005,0.17,1017,1.2000000000000002,74,3.8000000000000003
2017,1,1,5,15,23.700000000000003,216,437,443,0,6.7,216,437,0,443,0.242,33.5,58.69,0.17,1017,1.2000000000000002,74,3.7
2017,1,1,5,30,24.200000000000003,226,457,478,0,6.7,226,457,0,478,0.242,32.51,56.660000000000004,0.17,1017,1.2000000000000002,75,3.6
2017,1,1,5,45,24.700000000000003,248,433,497,0,5.800000000000001,248,433,0,497,0.242,29.650000000000002,54.800000000000004,0.17,1017,1.2000000000000002,76,3.6
2017,1,1,6,0,25.200000000000003,256,448,525,0,5.800000000000001,256,448,0,525,0.242,28.78,53.120000000000005,0.17,1017,1.2000000000000002,77,3.5
2017,1,1,6,15,25.5,260,460,545,0,5.800000000000001,260,460,0,545,0.242,28.28,51.64,0.17,1017,1.2000000000000002,78,3.3000000000000003
2017,1,1,6,30,25.900000000000002,266,470,565,0,5.800000000000001,266,470,0,565,0.242,27.59,50.38,0.17,1016,1.2000000000000002,79,3.2
2017,1,1,6,45,26.200000000000003,272,473,580,0,5.300000000000001,272,473,0,580,0.242,26.150000000000002,49.35,0.17,1016,1.2000000000000002,80,3.1
2017,1,1,7,0,26.5,275,479,592,0,5.300000000000001,275,479,0,592,0.242,25.69,48.58,0.17,1016,1.2000000000000002,81,2.9000000000000004
2017,1,1,7,15,26.700000000000003,277,483,600,0,5.300000000000001,277,483,0,600,0.242,25.36,48.07,0.17,1015,1.2000000000000002,83,2.8000000000000003
2017,1,1,7,30,26.900000000000002,278,485,604,0,5.300000000000001,278,485,0,604,0.242,25.07,47.83,0.17,1015,1.2000000000000002,84,2.6
2017,1,1,7,45,27.1,280,480,602,0,5.5,280,480,0,602,0.242,25.19,47.86,0.17,1015,1.2000000000000002,85,2.5
2017,1,1,8,0,27.3,278,478,597,0,5.5,278,478,0,597,0.242,24.900000000000002,48.17,0.17,1015,1.2000000000000002,87,2.3000000000000003
2017,1,1,8,15,27.400000000000002,276,474,588,0,5.5,276,474,0,588,0.242,24.73,48.75,0.17,1014,1.2000000000000002,88,2.2
2017,1,1,8,30,27.5,272,467,575,0,5.5,272,467,0,575,0.242,24.580000000000002,49.59,0.17,1014,1.2000000000000002,88,2.1
2017,1,1,8,45,27.6,265,465,560,0,5.800000000000001,265,465,0,560,0.242,25.03,50.68,0.17,1014,1.2000000000000002,89,2
2017,1,1,9,0,27.700000000000003,259,454,539,0,5.800000000000001,259,454,0,539,0.242,24.88,52,0.17,1014,1.2000000000000002,90,1.9000000000000001
2017,1,1,9,15,27.6,252,442,514,0,5.800000000000001,252,442,0,514,0.242,25.03,53.53,0.17,1014,1.2000000000000002,90,1.9000000000000001
2017,1,1,9,30,27.6,243,426,486,0,5.800000000000001,243,426,0,486,0.242,25.03,55.26,0.17,1014,1.2000000000000002,91,1.8
2017,1,1,9,45,27.5,234,404,453,0,6.7,234,404,0,453,0.242,26.73,57.17,0.17,1013,1.2000000000000002,91,1.7000000000000002
2017,1,1,10,0,27.5,222,384,418,0,6.7,222,384,0,418,0.242,26.73,59.24,0.17,1013,1.2000000000000002,92,1.6
2017,1,1,10,15,27.200000000000003,208,361,381,0,6.7,208,361,0,381,0.242,27.21,61.46,0.17,1013,1.2000000000000002,95,1.5
2017,1,1,10,30,26.900000000000002,193,335,341,0,6.7,193,335,0,341,0.242,27.69,63.800000000000004,0.17,1013,1.2000000000000002,99,1.3
2017,1,1,10,45,26.6,176,301,298,0,7.1000000000000005,176,301,0,298,0.242,29.01,66.26,0.17,1013,1.2000000000000002,103,1.1
2017,1,1,11,0,26.3,157,269,254,0,7.1000000000000005,157,269,0,254,0.242,29.52,68.82000000000001,0.17,1013,1.2000000000000002,106,0.9
2017,1,1,11,15,25.8,135,234,210,0,7.1000000000000005,135,234,0,210,0.242,30.43,71.47,0.17,1014,1.2000000000000002,109,1
2017,1,1,11,30,25.200000000000003,112,196,165,1,7.1000000000000005,112,196,0,165,0.242,31.53,74.2,0.17,1014,1.2000000000000002,112,1
2017,1,1,11,45,24.6,86,152,121,0,6.2,86,152,0,121,0.242,30.67,77,0.17,1014,1.2000000000000002,115,1
2017,1,1,12,0,24,60,110,80,0,6.2,60,110,0,80,0.242,31.79,79.86,0.17,1014,1.2000000000000002,118,1
2017,1,1,12,15,23.700000000000003,35,68,44,0,6.2,35,68,0,44,0.242,32.36,82.77,0.17,1014,1.2000000000000002,117,1
2017,1,1,12,30,23.400000000000002,15,31,17,0,6.2,15,31,0,17,0.243,32.95,85.69,0.17,1014,1.2000000000000002,116,1.1
2017,1,1,12,45,23.1,3,6,3,0,5.300000000000001,3,6,0,3,0.243,31.64,88.57000000000001,0.17,1015,1.2000000000000002,115,1.1
2017,1,1,13,0,22.8,0,0,0,0,5.300000000000001,0,0,0,0,0.243,32.22,91.98,0.17,1015,1.2000000000000002,114,1.2000000000000002
2017,1,1,13,15,22.6,0,0,0,0,5.300000000000001,0,0,0,0,0.243,32.61,95.10000000000001,0.17,1015,1.3,110,1.2000000000000002
2017,1,1,13,30,22.400000000000002,0,0,0,0,5.300000000000001,0,0,0,0,0.243,33.01,98.24000000000001,0.17,1015,1.3,107,1.3
2017,1,1,13,45,22.200000000000003,0,0,0,0,5.4,0,0,0,0,0.243,33.57,101.42,0.17,1015,1.3,104,1.3
2017,1,1,14,0,22,0,0,0,0,5.4,0,0,0,0,0.243,34.01,104.63,0.17,1016,1.3,101,1.4000000000000001
2017,1,1,14,15,21.8,0,0,0,0,5.4,0,0,0,0,0.244,34.43,107.86,0.17,1016,1.3,98,1.5
2017,1,1,14,30,21.6,0,0,0,0,5.4,0,0,0,0,0.244,34.85,111.11,0.17,1016,1.3,95,1.5
2017,1,1,14,45,21.400000000000002,0,0,0,0,6,0,0,0,0,0.244,36.72,114.39,0.17,1016,1.3,91,1.6
2017,1,1,15,0,21.200000000000003,0,0,0,0,6,0,0,0,0,0.244,37.17,117.68,0.17,1016,1.3,88,1.7000000000000002
2017,1,1,15,15,21,0,0,0,0,6,0,0,0,0,0.244,37.63,120.99000000000001,0.17,1016,1.3,85,1.7000000000000002
2017,1,1,15,30,20.900000000000002,0,0,0,0,6,0,0,0,0,0.244,37.9,124.31,0.17,1017,1.3,82,1.8
2017,1,1,15,45,20.700000000000003,0,0,0,0,6.7,0,0,0,0,0.244,40.12,127.64,0.17,1017,1.3,80,1.9000000000000001
2017,1,1,16,0,20.5,0,0,0,0,6.7,0,0,0,0,0.244,40.62,130.99,0.17,1017,1.3,77,2
2017,1,1,16,15,20.3,0,0,0,0,6.7,0,0,0,0,0.244,41.12,134.35,0.17,1017,1.3,74,2
2017,1,1,16,30,20.200000000000003,0,0,0,0,6.7,0,0,0,0,0.244,41.37,137.72,0.17,1017,1.3,71,2.1
2017,1,1,16,45,20,0,0,0,0,7.2,0,0,0,0,0.244,43.36,141.1,0.17,1017,1.3,69,2.2
2017,1,1,17,0,19.8,0,0,0,0,7.2,0,0,0,0,0.244,43.9,144.48,0.17,1017,1.3,66,2.2
2017,1,1,17,15,19.700000000000003,0,0,0,0,7.2,0,0,0,0,0.245,44.17,147.87,0.17,1017,1.3,64,2.3000000000000003
2017,1,1,17,30,19.5,0,0,0,0,7.2,0,0,0,0,0.245,44.730000000000004,151.27,0.17,1017,1.3,61,2.3000000000000003
2017,1,1,17,45,19.3,0,0,0,0,7.6000000000000005,0,0,0,0,0.245,46.57,154.67000000000002,0.17,1017,1.3,59,2.4000000000000004
2017,1,1,18,0,19.200000000000003,0,0,0,0,7.6000000000000005,0,0,0,0,0.245,46.86,158.07,0.17,1017,1.3,57,2.5
